State,dw_code,party_x,party_y,Metro Area,County (may overlap with multiple counties),benchmark_60.60_85k_eptc,benchmark_40_32k_eptc,benchmark_60.60_85k_no_eptc,benchmark_40_32k_no_eptc,last_name,first_name,birthday,gender,fullname,BACH_PLUS_pct,FOREIGN_BORN_pct,stdis_y,Congressional District,Total population,Median Household Income,Male,Female,Sex ratio (males per 100 females),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),One race,Two or More Races,One race - White,One race - Black or African American,One race - American Indian and Alaska Native,One race - Asian,One race - Native Hawaiian and Other Pacific Islander,Hispanic or Latino (of any race),Not Hispanic or Latino,Not Hispanic or Latino - White alone,Not Hispanic or Latino - Black or African American alone,Not Hispanic or Latino - American Indian and Alaska Native alone,Not Hispanic or Latino - Asian alone,Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino - Some Other Race alone,Not Hispanic or Latino - Two or More Races,Total housing units,Harris,Trump2024,Total2024,Harris5,Trump%,Margin,Biden,Trump2020,Total2020,Biden%,Trump2020%,Margin2020,PctBachelors+,STATEFP,district,GEOID
Arizona,AZ09,R,Republican,"Phoenix-Mesa-Chandler, AZ",Maricopa County,602.08,58.13,2601.88,180.27,Gosar,Paul,11/22/58,M,Paul Gosar,0.2177,0.1118,AZ09,Arizona 09,836316,76350,419923,416393,100.8,48984,51282,56365,50865,46982,103003,104126,97928,48514,55270,98596,58856,15545,40.7,708569,127747,562311,36077,13163,17060,1756,259701,576615,477309,34266,9476,16375,1685,4078,33426,362737,137012,262106,402472,34.04%,65.12%,-31.08%,"132,165","225,719","363,126",36.40%,62.16%,-25.76%,23.3,4,9,409
Arkansas,AR01,R,Republican,"Jonesboro, AR",Craighead County,602.08,58.13,2998.43,180.27,Crawford,Eric,1/22/66,M,Eric Crawford,0.1757,0.0253,AR01,Arkansas 01,753522,51951,374068,379454,98.6,45451,47504,51080,49232,43955,93667,92209,89891,48111,51303,82012,43490,15617,39.9,710651,42871,565355,126846,2196,4366,1269,30828,722694,556157,126536,1664,4344,1262,1256,31475,349103,72183,196035,273446,26.40%,71.69%,-45.29%,"80,516","197,832","286,792",28.07%,68.98%,-40.91%,18.2,5,1,501
Arkansas,AR02,R,Republican,"Little Rock-North Little Rock-Conway, AR",Faulkner County,602.08,58.13,2998.43,180.27,Hill,J.,12/5/56,M,J. Hill,0.3253,0.0448,AR02,Arkansas 02,755024,62987,365129,389895,93.6,43477,47757,50251,49368,53539,101142,96692,88880,47231,47821,76711,38339,13816,38.2,713257,41767,525165,155123,2123,12091,216,46134,708890,509842,154258,1700,11921,199,2377,28593,352492,131089,180710,319500,41.03%,56.56%,-15.53%,"140,254","183,964","333,041",42.11%,55.24%,-13.12%,32.0,5,2,502
Arkansas,AR03,R,Republican,"Fayetteville-Springdale-Rogers, AR",Washington County,602.08,58.13,2998.43,180.27,Womack,Steve,2/18/57,M,Steve Womack,0.3107,0.1124,AR03,Arkansas 03,770992,71397,385272,385720,99.9,49269,55245,51271,56671,56409,109561,104714,90202,44857,41773,66024,33191,11805,35.6,632719,138273,527524,21445,8111,25612,9529,129767,641225,495930,21207,4963,25067,9525,3121,81412,321630,112073,189161,309672,36.19%,61.08%,-24.89%,"110,479","180,794","300,274",36.79%,60.21%,-23.42%,32.1,5,3,503
Arkansas,AR04,R,Republican,"Hot Springs, AR",Garland County,602.08,58.13,2998.43,180.27,Westerman,Bruce,11/18/67,M,Bruce Westerman,0.1806,0.0416,AR04,Arkansas 04,753113,51058,371489,381624,97.3,44241,46236,49543,51108,47265,87740,90227,89999,49369,52746,84924,44762,14953,40.6,712499,40614,530842,148713,4463,5240,1026,59104,694009,511287,147925,2473,5160,920,1030,25214,359439,81560,193335,280058,29.12%,69.03%,-39.91%,"92,683","198,057","298,962",31.00%,66.25%,-35.25%,19.2,5,4,504
California,CA01,R,Republican,"Redding, CA",Shasta County,602.08,58.13,3624.92,180.27,LaMalfa,Doug,7/2/60,M,Doug LaMalfa,0.2266,0.1117,CA01,California 01,762487,69110,384495,377992,101.7,44014,49891,49725,50342,53987,101280,94828,82358,45001,50011,84215,40984,15851,38.2,659735,102752,526098,14448,12960,44546,2263,176201,586286,474032,13682,8531,43391,1872,4136,40642,316901,118090,199649,326893,36.12%,61.07%,-24.95%,"136,550","203,077","348,189",39.22%,58.32%,-19.11%,24.4,6,1,601
California,CA02,D,Democrat,"Santa Rosa-Petaluma, CA",Sonoma County,602.09,58.13,3158.06,180.27,Huffman,Jared,2/18/64,M,Jared Huffman,0.4229,0.1481,CA02,California 02,758158,96195,376726,381432,98.8,35235,41676,42798,45767,40323,81819,93367,98613,53647,55642,102188,49643,17440,44.8,663836,94322,534672,12687,15460,30669,1540,156289,601869,500566,11596,9665,29939,1449,5825,42829,335892,276863,100474,390600,70.88%,25.72%,45.16%,"310,592","101,570","422,441",73.52%,24.04%,49.48%,44.0,6,2,602
California,CA03,R,Republican,"Sacramento-Roseville-Folsom, CA",Placer County,602.09,58.13,3173.02,180.26,Kiley,Kevin,1/30/85,M,Kevin Kiley,0.4026,0.1255,CA03,California 03,770955,103981,382834,388121,98.6,37280,42442,50169,44308,36737,84298,104727,97923,52928,55123,98093,48714,18213,43.6,683808,87147,573677,13131,6754,59643,1533,114398,656557,533690,12388,4325,58477,1458,3877,42342,368266,201922,218497,434048,46.52%,50.34%,-3.82%,"211,790","219,762","442,451",47.87%,49.67%,-1.80%,40.9,6,3,603
California,CA04,D,Democrat,"Napa, CA",Napa County,602.09,58.13,2952.62,180.27,Thompson,Mike,1/24/51,M,Mike Thompson,0.3536,0.1903,CA04,California 04,763128,95443,376585,386543,97.4,37713,41825,45652,53081,61435,98449,97051,88107,47979,48441,84478,41840,17077,39.3,657592,105536,458979,22634,8534,63537,3218,244274,518854,390437,21395,3213,61749,2825,3167,36068,309105,225203,115410,351669,64.04%,32.82%,31.22%,"250,308","113,844","373,278",67.06%,30.50%,36.56%,34.9,6,4,604
California,CA05,R,Republican,"Modesto, CA",Stanislaus County,602.09,58.13,2841.43,180.26,McClintock,Tom,7/10/56,M,Tom McClintock,0.3015,0.1251,CA05,California 05,764588,90061,380343,384245,99,40359,44753,50636,47900,39718,93168,95502,91696,50487,53080,93269,45252,18768,41.6,649851,114737,513866,17816,8501,46577,2461,201945,562643,456206,16352,4172,44643,1900,3498,35872,323485,151686,219092,380505,39.86%,57.58%,-17.71%,"171,424","220,770","401,076",42.74%,55.04%,-12.30%,30.0,6,5,605
California,CA06,D,Democrat,"Sacramento-Roseville-Folsom, CA",Sacramento County,602.09,58.13,2910.15,180.26,Bera,Ami,3/2/65,M,Ami Bera,0.2933,0.2239,CA06,California 06,755796,83626,369348,386448,95.6,49371,49584,52005,43983,44319,120093,105202,89356,45129,45504,67013,29935,14302,36.6,655207,100589,405548,70023,6930,92529,4797,174116,581680,361989,67511,2360,91054,4678,4580,49508,288363,166463,124666,301412,55.23%,41.36%,13.87%,"192,873","131,468","333,336",57.86%,39.44%,18.42%,30.4,6,6,606
California,CA07,D,Democrat,"Sacramento-Roseville-Folsom, CA",Sacramento County,602.09,58.13,2910.14,180.26,Matsui,Doris,9/25/44,F,Doris Matsui,0.3341,0.241,CA07,California 07,757893,90495,375110,382783,98,42485,45286,51959,53464,48082,115811,108678,91711,44729,44938,66302,31196,13252,36.9,649043,108850,285927,77970,6845,174386,13191,206053,551840,241259,74318,1637,171222,12538,4077,46789,278048,195104,103118,309198,63.10%,33.35%,29.75%,"228,897","102,737","339,420",67.44%,30.27%,37.17%,34.2,6,7,607
California,CA08,D,Democrat,"San Francisco-Oakland-Fremont, CA",Contra Costa County,602.09,58.13,3236.65,180.27,Garamendi,John,1/24/45,M,John Garamendi,0.2978,0.2944,CA08,California 08,751024,96779,369158,381866,96.7,41766,44061,48852,48027,48293,106679,106752,94339,47628,46737,73830,31533,12527,38.6,630186,120838,225836,107251,8273,134619,6750,272805,478219,183955,104185,1603,132326,5982,6367,43801,267584,200015,75771,285116,70.15%,26.58%,43.58%,"244,070","70,550","321,343",75.95%,21.95%,54.00%,30.0,6,8,608
California,CA09,D,Democrat,"Stockton-Lodi, CA",San Joaquin County,602.09,58.13,2659.66,180.26,Harder,Josh,8/1/86,M,Josh Harder,0.2042,0.2457,CA09,California 09,767049,88713,384288,382761,100.4,50229,52143,62896,57832,50379,106156,104476,91979,45303,41664,61928,29863,12201,35.4,618282,148767,294123,53390,9201,130090,4528,323126,443923,223023,50949,1934,127212,4176,3589,33040,252957,122904,127491,258203,47.60%,49.38%,-1.78%,"157,640","121,642","285,397",55.24%,42.62%,12.61%,23.1,6,9,609
California,CA10,D,Democrat,"San Francisco-Oakland-Fremont, CA",Contra Costa County,602.09,58.13,3382.56,180.27,DeSaulnier,Mark,3/31/52,M,Mark DeSaulnier,0.5475,0.2513,CA10,California 10,756742,152089,373552,383190,97.5,41442,47159,53100,47768,37389,85379,109002,108694,52949,46321,72604,38869,16066,41,657693,99049,387759,40320,4273,170175,2878,135791,620951,359064,38825,1225,168753,2586,3978,46520,281523,247321,119198,379290,65.21%,31.43%,33.78%,"280,973","119,815","409,383",68.63%,29.27%,39.37%,55.5,6,10,610
California,CA11,D,Democrat,"San Francisco-Oakland-Fremont, CA",San Francisco County,602.08,58.14,3230.96,180.27,Pelosi,Nancy,3/26/40,F,Nancy Pelosi,0.6401,0.3362,CA11,California 11,723466,144015,372754,350712,106.3,30285,25216,24641,25217,35518,161883,119380,94962,43398,40056,69340,34932,18638,39.2,643127,80339,320733,37955,4709,228563,2478,105560,617906,300083,36519,1469,226787,2226,5782,45040,376161,295463,50870,361182,81.80%,14.08%,67.72%,"339,795","46,210","393,814",86.28%,11.73%,74.55%,65.8,6,11,611
California,CA12,D,Democrat,"San Francisco-Oakland-Fremont, CA",Alameda County,602.08,58.13,3105.3,180.27,Simon,Lateefah,1/29/77,F,Lateefah Simon,0.5347,0.2793,CA12,California 12,746726,105647,366714,380012,96.5,38778,36993,38141,44229,50987,129821,115511,93751,44080,40187,68224,32301,13723,37.8,658006,88720,271513,116563,7606,151070,3700,176275,570451,249397,113071,1845,149646,3496,6409,46587,317097,269148,33869,318386,84.54%,10.64%,73.90%,"328,830","31,734","368,206",89.31%,8.62%,80.69%,55.4,6,12,612
California,CA13,D,Democrat,"Merced, CA",Merced County,602.09,58.13,3195.12,180.27,Gray,Adam,9/23/77,M,Adam Gray,0.1313,0.2802,CA13,California 13,779049,67615,395418,383631,103.1,57103,62799,69073,65268,56930,112285,103069,87593,41635,37605,52767,23369,9553,31.9,615669,163380,275689,23092,11178,50844,2820,511862,267187,168444,22069,1974,49809,2524,2353,20014,231960,100559,112433,218799,45.96%,51.39%,-5.43%,"125,261","100,222","230,706",54.29%,43.44%,10.85%,14.7,6,13,613
California,CA14,D,Democrat,"San Francisco-Oakland-Fremont, CA",Alameda County,602.08,58.13,3105.3,180.27,Swalwell,Eric,11/16/80,M,Eric Swalwell,0.4632,0.3889,CA14,California 14,743389,139901,370512,372877,99.4,40192,43823,45736,42604,33941,107479,114485,102984,51274,47612,66258,32721,14280,39.8,661048,82341,224594,41927,6199,287422,7320,183002,560387,189559,40713,1659,284983,6940,3027,33506,258532,191274,88263,290778,65.78%,30.35%,35.43%,"239,561","87,626","334,248",71.67%,26.22%,45.46%,50.0,6,14,614
California,CA15,D,Democrat,"San Francisco-Oakland-Fremont, CA",San Mateo County,602.09,58.14,3459.11,180.27,Mullin,Kevin,6/15/70,M,Kevin Mullin,0.479,0.4107,CA15,California 15,742872,145326,371734,371138,100.2,37816,38918,42760,39132,37799,110620,111617,100999,51106,47043,71085,36200,17777,40.5,655223,87649,246097,19514,8001,276980,8537,193524,549348,209978,17593,1085,274284,8133,6283,31992,274367,220603,74250,305590,72.19%,24.30%,47.89%,"272,883","71,552","351,079",77.73%,20.38%,57.35%,48.9,6,15,615
California,CA16,D,Democrat,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,602.09,58.13,2893.18,180.26,Liccardo,Sam,4/16/70,M,Sam Liccardo,0.6219,0.3515,CA16,California 16,745878,170331,369416,376462,98.1,38669,43076,49163,49805,40119,96275,102841,103654,49582,46758,69448,38345,18143,40.4,654995,90883,350422,15705,5051,224161,3819,145198,600680,316813,14949,923,223134,3699,3559,37603,289710,249344,82398,344065,72.47%,23.95%,48.52%,"288,193","85,593","382,082",75.43%,22.40%,53.03%,63.1,6,16,616
California,CA17,D,Democrat,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,602.09,58.13,2825.53,180.26,Khanna,Ro,9/13/76,M,Ro Khanna,0.6243,0.5077,CA17,California 17,745398,176832,388283,357115,108.7,42136,40162,40313,39273,43032,145320,116233,95514,47043,40937,53797,28693,12945,36.6,683050,62348,175498,16027,3956,420653,3512,119791,625607,155087,15496,1536,419171,3337,3869,27111,280571,176438,76249,264323,66.75%,28.85%,37.90%,"219,542","76,381","301,898",72.72%,25.30%,47.42%,63.2,6,17,617
California,CA18,D,Democrat,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,602.09,58.13,3289.18,180.26,Lofgren,Zoe,12/21/47,F,Zoe Lofgren,0.235,0.3442,CA18,California 18,756539,100769,389384,367155,106.1,49154,51937,58253,58228,56544,110917,105138,94098,43454,37949,55798,24137,10932,34.4,606355,150184,220036,17078,10852,87204,1818,495338,261201,136752,15198,1120,85145,1120,2795,19071,228534,149269,79571,236237,63.19%,33.68%,29.50%,"190,117","72,029","267,951",70.95%,26.88%,44.07%,24.7,6,18,618
California,CA19,D,Democrat,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,602.09,58.13,3255.97,180.26,Panetta,Jimmy,10/1/69,M,Jimmy Panetta,0.4639,0.2445,CA19,California 19,747226,123362,372727,374499,99.5,33518,40160,43661,52758,51923,90476,95163,96211,51055,49138,85801,40410,16952,41.3,643626,103600,409714,14424,4916,141511,2936,184855,562371,365020,13530,813,139316,2780,4501,36411,295306,246403,116909,376513,65.44%,31.05%,34.39%,"283,245","119,900","412,573",68.65%,29.06%,39.59%,48.3,6,19,619
California,CA20,R,Republican,"Bakersfield-Delano, CA",Kern County,602.08,58.13,2397.11,180.26,Fong,Vince,10/24/79,M,Vince Fong,0.2837,0.1308,CA20,California 20,770763,88149,386827,383936,100.8,53385,53885,63902,53267,47168,109913,101927,86591,45246,43780,66899,32262,12538,35.4,640105,130658,456538,27841,8546,60387,1365,268502,502261,374755,26197,3207,58761,1241,4040,34060,286938,110642,210246,328446,33.69%,64.01%,-30.33%,"127,496","214,492","349,862",36.44%,61.31%,-24.87%,28.5,6,20,620
California,CA21,D,Democrat,"Fresno, CA",Fresno County,602.08,58.13,2424.79,180.27,Costa,Jim,4/13/52,M,Jim Costa,0.163,0.2263,CA21,California 21,757752,62084,380658,377094,100.9,57474,63138,66501,60238,52998,118171,101269,80813,37886,35106,51151,23611,9396,31.6,590394,167358,277609,35700,12036,71787,1161,487433,270319,142424,33624,2862,70111,990,3256,17052,240356,101220,93644,200112,50.58%,46.80%,3.79%,"133,827","87,856","226,362",59.12%,38.81%,20.31%,17.9,6,21,621
California,CA22,R,Republican,"Bakersfield-Delano, CA",Kern County,602.08,58.13,2412.12,180.26,Valadao,David,4/14/77,M,David Valadao,0.0988,0.2692,CA22,California 22,781420,56600,403102,378318,106.6,58289,64720,72838,67345,62189,119628,105246,85386,37523,34577,45810,20165,7704,30.2,586135,195285,301412,34512,11605,28893,1580,579234,202186,123055,31890,3198,28045,1016,2504,12478,229083,79359,89469,173377,45.77%,51.60%,-5.83%,"103,963","79,681","188,155",55.25%,42.35%,12.90%,10.2,6,22,622
California,CA23,R,Republican,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,602.09,58.13,2003.04,180.27,Obernolte,Jay,8/18/70,M,Jay Obernolte,0.2032,0.1504,CA23,California 23,765033,71862,386138,378895,101.9,52572,55407,62892,54567,54009,108531,99084,82411,43168,44955,65503,29837,12097,34.5,611760,153273,405709,63398,9993,33445,3254,330784,434249,299325,60421,3065,31446,2954,3706,33332,302550,110434,156700,274456,40.24%,57.09%,-16.86%,"130,953","160,218","298,346",43.89%,53.70%,-9.81%,20.5,6,23,623
California,CA24,D,Democrat,"Oxnard-Thousand Oaks-Ventura, CA",Ventura County,602.09,58.13,3127.03,180.26,Carbajal,Salud,11/18/64,M,Salud Carbajal,0.3784,0.1892,CA24,California 24,758508,95050,381138,377370,101,40637,40362,44683,61844,74700,97209,88803,81012,43212,47529,80507,40134,17876,37.2,607426,151082,467622,11609,10581,36603,1161,295875,462633,381024,10661,1492,35491,964,3170,29831,295618,214713,126508,352206,60.96%,35.92%,25.04%,"240,344","130,117","379,418",63.35%,34.29%,29.05%,39.7,6,24,624
California,CA25,D,Democrat,"Riverside-San Bernardino-Ontario, CA",Riverside County,602.09,58.13,2132.12,180.27,Ruiz,Raul,8/25/72,M,Raul Ruiz,0.1643,0.2608,CA25,California 25,773254,64102,389428,383826,101.5,47416,52609,59004,56865,48289,105068,100701,87623,42356,43545,71725,42059,15994,36.7,570938,202316,292067,36345,13544,23181,1182,510831,262423,183939,32901,4407,21838,1034,1999,16305,285588,125529,119328,250727,50.07%,47.59%,2.47%,"150,324","109,749","265,268",56.67%,41.37%,15.30%,17.6,6,25,625
California,CA26,D,Democrat,"Oxnard-Thousand Oaks-Ventura, CA",Ventura County,602.09,58.13,2753.37,180.27,Brownley,Julia,8/28/52,F,Julia Brownley,0.3612,0.2405,CA26,California 26,753063,112536,374250,378813,98.8,40447,45721,52545,51179,48756,97296,95891,97182,51562,48576,71936,35363,16609,39.2,593848,159215,431278,14678,10927,59867,1360,329839,423224,316904,13455,1168,58567,1101,3908,28121,258605,190849,145316,345925,55.17%,42.01%,13.16%,"222,994","147,422","378,303",58.95%,38.97%,19.98%,39.7,6,26,626
