ID,Title,Description,Category_title,Geometry_Coordinates_1,Date,Time,Split,Long,Lat
EONET_14066,Birch Wildfire  Yukon-Koyukuk  Alaska,null Miles null from null  ,Wildfires,-144.221117  65.862217,6/20/25,17:21:00,12,-144.221117, 65.862217
EONET_14080,Christian Wildfire  Yukon-Koyukuk  Alaska,50 Miles NE from Venetie  AK,Wildfires,-144.808  67.337383,6/20/25,17:16:00,9,-144.808, 67.337383
EONET_14058,Richards Wildfire  Yukon-Koyukuk  Alaska,10 Miles W from Huslia  AK,Wildfires,-156.7275  65.685833,6/20/25,14:33:00,10,-156.7275, 65.685833
EONET_14105,Takoma Wildfire  Yukon-Koyukuk  Alaska,,Wildfires,-143.9174  65.4264,6/20/25,12:40:00,10,-143.9174, 65.4264
EONET_14097,Michigan Wildfire  Yukon-Koyukuk  Alaska,22 Miles W from Wiseman  AK,Wildfires,-150.98055  67.471117,6/20/25,12:21:00,11,-150.98055, 67.471117
EONET_14078,Conner Wildfire  Douglas  Nevada,8 Miles SE from Gardnerville  NV,Wildfires,-119.644167  38.8524,6/20/25,9:03:00,12,-119.644167, 38.8524
EONET_14106,EVP HID Rx 0620 Prescribed Fire  Miami-Dade  Florida,,Wildfires,-80.6448  25.3807,6/20/25,7:13:00,9,-80.6448, 25.3807
EONET_14059,Saint George Creek Wildfire  Denali  Alaska,30 Miles SW from Salcha  AK,Wildfires,-147.891533  64.222833,6/20/25,3:06:00,12,-147.891533, 64.222833
EONET_13975,Turtle Wildfire  Yukon-Koyukuk  Alaska,,Wildfires,-144.298667  65.608833,6/20/25,1:55:00,12,-144.298667, 65.608833
EONET_14068,Bonanza Creek Wildfire  Fairbanks North Star  Alaska,22 Miles SW from Fairbanks  AK,Wildfires,-148.446383  64.713883,6/20/25,1:50:00,12,-148.446383, 64.713883
EONET_13973,Ikheenjik Wildfire  Yukon-Koyukuk  Alaska,,Wildfires,-144.234167  65.611833,6/20/25,1:45:00,12,-144.234167, 65.611833
EONET_13970,Forsyth Wildfire  Washington  Utah,30 Miles N from St. George  UT,Wildfires,-113.515417  37.346567,6/19/25,20:59:00,12,-113.515417, 37.346567
EONET_13974,Aniralik Wildfire  Northwest Arctic  Alaska,91 Miles NW from Ambler  AK,Wildfires,-159.735833  68.203333,6/19/25,12:36:00,12,-159.735833, 68.203333
EONET_13988,BCP Mullet B Rx 0619 Prescribed Fire  Collier  Florida,,Wildfires,-81.110883  26.023867,6/19/25,7:08:00,11,-81.110883, 26.023867
EONET_13997,BAER BUCK Emergency Stabilization  Catron  New Mexico,,Wildfires,-108.21086  33.59564,6/18/25,13:21:00,11,-108.21086, 33.59564
EONET_13992,SMR Port Leon West Rx 0618 Prescribed Fire  Wakulla  Florida,,Wildfires,-84.184444  30.144389,6/18/25,9:18:00,11,-84.184444, 30.144389
EONET_13980,SEVEN SPRINGS Wildfire  Otero  New Mexico,5 Miles SE from Mescalero  NM,Wildfires,-105.80735  33.066183,6/17/25,17:57:00,11,-105.80735, 33.066183
EONET_13998,0300 WOLF HOLLOW GILLIAM COUNTY ASSIST Wildfire  Gilliam  Oregon,11 Miles NE from Condon  OR,Wildfires,-120.059  45.3894,6/17/25,17:48:00,9,-120.059, 45.3894
EONET_13972,MONTE Wildfire  San Diego  California,2 Miles W from El Capitan Resorvior  CA,Wildfires,-116.841545  32.891216,6/17/25,17:44:00,12,-116.841545, 32.891216
EONET_13991,Tango Wildfire  Yukon-Koyukuk  Alaska,75 Miles NW from Nikolai  AK,Wildfires,-156.02  63.82,6/17/25,17:37:00,8,-156.02, 63.82
EONET_13993,HelpMeJack Wildfire  Yukon-Koyukuk  Alaska,45 Miles NW from Allakaket  AK,Wildfires,-154.048383  66.868083,6/17/25,15:16:00,12,-154.048383, 66.868083
EONET_13983,Tagagawik Wildfire  Yukon-Koyukuk  Alaska,67 Miles NW from Koyukuk  AK,Wildfires,-159.06  65.66,6/17/25,12:09:00,8,-159.06, 65.66
EONET_13995,BCP Mullet B Rx 0617 Prescribed Fire  Collier  Florida,,Wildfires,-81.110883  26.023867,6/17/25,7:11:00,11,-81.110883, 26.023867
EONET_13969,Telidaside Wildfire  Yukon-Koyukuk  Alaska,,Wildfires,-152.59  63.19,6/16/25,22:17:00,8,-152.59, 63.19
EONET_13996,Hogatza Wildfire  Yukon-Koyukuk  Alaska,37 Miles NW from Allakaket  AK,Wildfires,-153.848333  66.758333,6/16/25,20:41:00,12,-153.848333, 66.758333
EONET_13990,Kawichiark 2 Wildfire  Northwest Arctic  Alaska,33 Miles SW from Shungnak  AK,Wildfires,-158.03627  66.565531,6/16/25,15:33:00,11,-158.03627, 66.565531
EONET_13989,Kawichiark 1 Wildfire  Northwest Arctic  Alaska,33 Miles SW from Shungnak  AK,Wildfires,-158.039  66.565333,6/16/25,15:29:00,9,-158.039, 66.565333
EONET_13979,0291 ALDER SPRINGS Wildfire  Jefferson  Oregon,8 Miles NW from Terrebonne  OR,Wildfires,-121.346667  44.444667,6/16/25,13:38:00,12,-121.346667, 44.444667
EONET_14005,APQ Area 1 Rx 0616 Prescribed Fire  Polk  Florida,,Wildfires,-81.389122  27.710079,6/16/25,9:00:00,11,-81.389122, 27.710079
EONET_14003,BCP Mullet B Rx 0616 Prescribed Fire  Collier  Florida,,Wildfires,-81.0949  26.0679,6/16/25,8:40:00,9,-81.0949, 26.0679
EONET_14009,pouch point Wildfire  Mountrail  North Dakota,,Wildfires,-102.472476  47.981964,6/14/25,16:48:00,12,-102.472476, 47.981964
EONET_14010,pouch point Wildfire  Mountrail  North Dakota,,Wildfires,-102.472476  47.981964,6/14/25,16:21:00,12,-102.472476, 47.981964
EONET_13976,Oskawalik Wildfire  Bethel  Alaska,9 Miles S from Crooked Creek  AK,Wildfires,-158.2245  61.725167,6/14/25,16:19:00,10,-158.2245, 61.725167
EONET_14011,pouch point Wildfire  Mountrail  North Dakota,,Wildfires,-102.472476  47.981964,6/14/25,14:54:00,12,-102.472476, 47.981964
EONET_14007,BCP Mullet B Rx 0614 Prescribed Fire  Collier  Florida,,Wildfires,-81.0949  26.0679,6/14/25,7:21:00,9,-81.0949, 26.0679
EONET_14008,DOGS Wildfire  Kern  California,Poso Creek area off of Hwy 65,Wildfires,-118.93  35.6383333,6/13/25,17:22:00,8,-118.93, 35.6383333
EONET_14001,Mines Spung Wildfire  Burlington  New Jersey,5 Miles SW from Speedwell  NJ,Wildfires,-74.63979  39.74558,6/13/25,16:48:00,10,-74.63979, 39.74558
EONET_13981,Bridge Creek Wildfire  San Juan  Utah,55 Miles NW from Page  AZ,Wildfires,-110.9005556  37.0422222,6/13/25,16:39:00,13,-110.9005556, 37.0422222
EONET_13985,Horse Wildfire  Sublette  Wyoming,7 Miles W from Merna  WY,Wildfires,-110.528967  42.90025,6/13/25,16:18:00,12,-110.528967, 42.90025
EONET_13978,POMAS Wildfire  Chelan  Washington,36 Miles NW from Entiat  WA,Wildfires,-120.723083  48.091433,6/13/25,15:55:00,12,-120.723083, 48.091433
EONET_14012,VANSYCLE CANYON Wildfire  Walla Walla  Washington,12 MILES SE OF BURBANK  WA,Wildfires,-118.82  46.0330556,6/13/25,2:35:00,8,-118.82, 46.0330556
EONET_14000,Gyetta South RX Prescribed Fire  Yavapai  Arizona,,Wildfires,-111.988449  34.37424,6/12/25,18:22:00,12,-111.988449, 34.37424
EONET_13982,BUCK Wildfire  Catron  New Mexico,61 Miles SW from Magdalena  NM,Wildfires,-108.21086  33.59564,6/12/25,11:42:00,11,-108.21086, 33.59564
EONET_13986,Trout Wildfire  Grant  New Mexico,12 Miles N from Silver City  NM,Wildfires,-108.232667  32.979417,6/12/25,10:51:00,12,-108.232667, 32.979417
EONET_14006,VANSYCLE CANYON Wildfire  Walla Walla  Washington,12 MILES SE OF BURBANK,Wildfires,-118.818667  46.029694,6/12/25,10:45:00,12,-118.818667, 46.029694
EONET_13999,0262 FERRY Wildfire  Sherman  Oregon,11 Miles SE from Moro  OR,Wildfires,-120.511167  45.442333,6/12/25,2:36:00,12,-120.511167, 45.442333
EONET_13971,France Canyon Wildfire  Garfield  Utah,7 Miles SE from Hatch  UT,Wildfires,-112.381833  37.548333,6/11/25,20:21:00,12,-112.381833, 37.548333
EONET_14004,Rosencrans Wildfire  Lincoln  Nevada,65 miles SE of Ely  NV,Wildfires,-114.223668  38.409203,6/11/25,16:57:00,12,-114.223668, 38.409203
EONET_13987,ROWENA Wildfire  Wasco  Oregon,2 Miles NW from The Dalles  OR,Wildfires,-121.2892  45.6793,6/11/25,16:45:00,10,-121.2892, 45.6793
EONET_14014,Ollie Roberts Road- Hardee Wildfire  Hardee  Florida,10 Miles W of the Bowling Green  5502 Ollie Roberts Road  Bowling Green  Hardee,Wildfires,-81.9958333  27.6380556,6/11/25,16:11:00,12,-81.9958333, 27.6380556
EONET_13977,Burnt Canyon Wildfire  Lincoln  Nevada,65 Miles SE from Ely  NV,Wildfires,-114.197867  38.296972,6/11/25,16:09:00,12,-114.197867, 38.296972
EONET_13867,Dunes Wildfire  Washington  Idaho,20NM west of Weiser  ID,Wildfires,-117.204583  44.28555,6/3/25,17:46:00,12,-117.204583, 44.28555
EONET_13869,Holly Springs IU 36 1 34 1 RX Prescribed Fire  Marshall  Mississippi,,Wildfires,-89.3482  34.7437,6/3/25,11:47:00,9,-89.3482, 34.7437
EONET_13868,OKR Blackjack Island Rx 0603 Prescribed Fire  Ware  Georgia,,Wildfires,-82.310433  30.654383,6/3/25,8:16:00,11,-82.310433, 30.654383
EONET_13866,Banana Lake Wildfire  Sanders  Montana,Four miles north of Plains  MT,Wildfires,-114.8405  47.514617,5/31/25,20:25:00,10,-114.8405, 47.514617
EONET_13872,SNF E Hamilton C-55 RX Prescribed Fire  Shelby  Texas,,Wildfires,-93.908417  31.619583,5/30/25,12:55:00,11,-93.908417, 31.619583
EONET_13781,RA 2 PAYETTE CO ASHLOCK Wildfire  Payette  Idaho,8 MILES NE PARMA  ID,Wildfires,-116.874085  43.894257,5/29/25,18:50:00,12,-116.874085, 43.894257
EONET_13792,BAR Camp Bowie Rx Prescribed Fire  Brown  Texas,,Wildfires,-98.947678  31.651263,5/29/25,11:12:00,11,-98.947678, 31.651263
EONET_13784,Perchman Wildfire  Putnam  Florida,6 miles North of Salt Springs,Wildfires,-81.720617  29.4605,5/27/25,14:20:00,11,-81.720617, 29.4605
EONET_13785,Paradise Wildfire  Catron  New Mexico,12 miles south of Quemado NM,Wildfires,-108.45813  34.15964,5/26/25,21:30:00,11,-108.45813, 34.15964
EONET_13794,NEW WALES (53) Wildfire  Polk  Florida,Polk County  Bradley Junction  Florida 8.5 MILES SSW OF MULBERRY,Wildfires,-82.0055556  27.7786111,5/26/25,16:53:00,12,-82.0055556, 27.7786111
EONET_13788,Wood Wildfire  Highlands  Florida,25 Miles East of Avon Park  FL,Wildfires,-81.18388  27.63524,5/26/25,10:57:00,10,-81.18388, 27.63524
EONET_13789,BUTTE CREEK Wildfire  Wheeler  Oregon,9 Miles N of Clarno  OR,Wildfires,-120.47939  45.06103,5/25/25,18:44:00,11,-120.47939, 45.06103
EONET_13786,CAMP Wildfire  Lincoln  New Mexico,10 Miles West of Lincoln  NM,Wildfires,-105.54944  33.48351,5/25/25,18:21:00,11,-105.54944, 33.48351
EONET_13791,Kathul Wildfire  Southeast Fairbanks  Alaska,50 miles Northwest of Eagle,Wildfires,-142.19  65.33,5/25/25,12:35:00,8,-142.19, 65.33
EONET_13790,Sandy Wildfire  Monroe  Florida,22 Miles SE of  Everglades City,Wildfires,-81.012333  25.6965,5/24/25,20:55:00,11,-81.012333, 25.6965
EONET_13795,dinwoodie Wildfire  Mountrail  North Dakota,,Wildfires,-102.471636  47.971759,5/24/25,19:15:00,12,-102.471636, 47.971759
EONET_13796,dinwoodie Wildfire  McKenzie  North Dakota,,Wildfires,-102.920559  48.052528,5/24/25,9:34:00,12,-102.920559, 48.052528
EONET_13797,dinwoodie Wildfire  Mountrail  North Dakota,,Wildfires,-102.471636  47.971759,5/23/25,21:41:00,12,-102.471636, 47.971759
EONET_13798,Rx Trinity 2730 Prescribed Fire  Trinity  Texas,,Wildfires,-94.9214  31.3104,5/23/25,15:25:00,9,-94.9214, 31.3104
EONET_13799,RX Compartment 113 East Prescribed Fire  Jasper  Georgia,,Wildfires,-83.701933  33.1714,5/23/25,14:29:00,11,-83.701933, 33.1714
EONET_13782,INN Wildfire  Mono  California,MONO LAKE,Wildfires,-119.154717  38.004533,5/22/25,19:07:00,12,-119.154717, 38.004533
EONET_13783,CODY Wildfire  Pinal  Arizona,ORACLE  AZ,Wildfires,-110.738667  32.5855,5/21/25,19:06:00,12,-110.738667, 32.5855
EONET_13793,Broadway Wildfire  La Paz  Arizona,2 miles from Cibola,Wildfires,-114.709267  33.4004,5/21/25,17:51:00,12,-114.709267, 33.4004
EONET_13800,SNF Hawthorne C 51-52 RX Prescribed Fire  San Augustine  Texas,,Wildfires,-94.093833  31.598917,5/21/25,10:29:00,11,-94.093833, 31.598917
EONET_13656,FD2505120020 Wildfire  Grant  North Dakota,,Wildfires,-101.775204  46.60307,5/19/25,17:26:00,12,-101.775204, 46.60307
EONET_13657,Homochitto BB 67 68 RX Prescribed Fire  Wilkinson  Mississippi,,Wildfires,-91.244  31.272,5/19/25,15:41:00,8,-91.244, 31.272
EONET_13658,RX Kent 2681 Prescribed Fire  Kent  Texas,,Wildfires,-100.9985  33.14225025,5/19/25,13:07:00,10,-100.9985, 33.14225025
EONET_13654,DeSoto BB 7255 North GFP RX Prescribed Fire  Harrison  Mississippi,,Wildfires,-88.957583  30.5882,5/19/25,11:58:00,11,-88.957583, 30.5882
EONET_13659,Rx San Augustine 2664 Prescribed Fire  San Augustine  Texas,,Wildfires,-94.13913  31.19551,5/19/25,11:14:00,10,-94.13913, 31.19551
EONET_13653,Democrat Wildfire  Kern  California,Lower Kern River Canyon,Wildfires,-118.710667  35.480433,5/18/25,18:49:00,12,-118.710667, 35.480433
EONET_13663,APQ Delta Prairie Rx 0517 Prescribed Fire  Highlands  Florida,,Wildfires,-81.3247  27.6377,5/17/25,8:00:00,9,-81.3247, 27.6377
EONET_13661,Bluff Creek Wildfire  Jackson  Mississippi,Larue Community,Wildfires,-88.85055  30.678683,5/16/25,13:53:00,10,-88.85055, 30.678683
EONET_13664,Homochitto BB45sub1 and Pockets of Sub2 RX Prescribed Fire  Franklin  Mississippi,,Wildfires,-91.067  31.388,5/16/25,9:36:00,8,-91.067, 31.388
EONET_13652,RX Mason Valley Fishponds Prescribed Fire  Lyon  Nevada,,Wildfires,-119.100164  39.088992,5/15/25,19:12:00,12,-119.100164, 39.088992
EONET_13666,APQ Rec Area 4 Rx 0515 Prescribed Fire  Highlands  Florida,,Wildfires,-81.297082  27.634061,5/15/25,8:14:00,11,-81.297082, 27.634061
