Month,Day
4,25
3,9
9,27
2,24
6,1
11,10
6,5
12,8
11,27
7,2
1,4
8,26
8,26
2,27
9,20
7,27
2,6
2,13
10,27
8,30
11,29
1,10
3,11
2,27
7,20
6,14
6,11
7,10
5,23
12,10
12,5
11,6
1,25
11,9
7,23
5,2
8,19
10,28
4,11
6,18
11,1
3,19
3,19
12,11
9,13
1,22
6,20
4,1
3,14
10,19
8,3
4,4
7,22
8,3
4,2
12,7
3,20
10,2
11,14
5,11
11,13
9,30
10,31
10,31
7,29
1,24
9,17
7,8
9,5
12,24
12,26
4,14
4,14
7,14
6,24
2,4
1,27
2,26
1,4
6,29
12,5
9,5
9,7
10,13
12,7
3,27
1,1
6,24
9,9
3,15
4,23
10,13
11,20
7,8
11,4
4,30
11,2
5,5
3,14
1,19
5,10
1,17
4,21
8,12
6,17
9,10
5,26
11,22
2,17
4,22
1,27
6,14
9,22
7,29
10,1
6,26
11,8
11,30
9,4
7,21
2,12
5,23
12,23
12,4
9,26
5,19
1,11
9,9
2,8
1,28
5,26
1,18
6,12
3,10
1,8
5,17
8,6
6,10
10,21
7,11
6,24
8,31
11,18
5,8
3,29
5,14
1,19
7,12
8,28
8,30
3,26
3,21
7,10
7,17
4,21
1,31
8,31
9,16
5,2
5,2
3,9
7,24
9,18
6,9
2,8
6,19
6,3
6,13
10,24
5,13
1,3
1,2
7,10
9,26
12,4
12,4
10,2
1,2
2,26
4,10
7,29
7,11
4,13
1,9
2,10
8,6
12,11
9,3
6,13
12,4
10,18
10,27
5,26
3,9
8,14
8,6
12,21
11,28
7,26
1,25
11,30
7,10
6,3
12,10
6,8
7,25
1,15
2,22
3,31
9,11
11,16
3,4
4,27
8,24
7,27
1,3
5,20
12,21
11,20
1,7
11,11
8,15
8,15
9,29
4,27
8,13
2,5
3,11
5,12
11,5
10,27
2,3
8,3
2,13
7,6
11,26
2,7
3,3
11,11
2,21
8,22
5,9
10,18
6,7
5,14
2,13
6,12
8,20
1,14
6,26
12,27
8,23
8,8
7,4
9,23
8,14
7,17
1,19
7,14
10,12
8,26
10,25
8,2
1,19
11,5
11,14
9,3
3,29
3,13
5,28
1,19
7,7
4,4
4,4
8,20
12,7
6,25
7,8
8,1
11,15
5,20
9,8
3,27
3,7
6,23
10,4
5,19
11,27
9,21
11,14
1,8
12,5
10,1
3,1
1,19
1,5
9,18
7,1
7,21
10,28
6,23
8,25
11,13
1,7
10,21
1,29
2,9
3,6
7,8
8,25
7,16
4,27
7,16
4,17
4,17
1,1
12,27
9,9
9,19
9,17
5,19
3,13
4,18
9,24
10,7
2,16
11,12
7,3
3,9
1,4
1,22
4,15
10,3
10,2
10,16
10,14
11,7
3,16
11,23
2,23
2,20
11,8
8,19
2,4
12,24
11,9
12,28
12,5
3,7
11,9
11,9
1,15
1,15
2,22
5,15
2,3
2,8
1,12
5,11
9,17
4,22
1,11
6,21
3,11
8,6
12,22
12,24
1,26
7,11
1,10
1,9
8,12
10,26
2,11
10,8
9,18
10,18
4,12
4,2
8,13
6,6
2,13
3,20
5,7
5,7
6,13
9,19
5,30
3,16
9,11
10,2
8,14
2,19
6,25
12,31
10,25
3,29
6,17
10,22
2,15
6,24
2,1
4,10
11,1
7,1
11,1
1,6
3,18
9,19
1,27
4,18
4,4
7,15
10,5
10,5
10,28
7,23
7,16
5,21
4,19
10,26
2,3
6,13
11,12
10,19
4,14
12,22
8,16
12,6
7,28
5,8
10,5
9,6
6,1
4,6
1,25
4,23
4,17
12,18
4,3
7,21
11,30
1,11
6,22
6,14
12,14
7,29
12,30
4,4
12,30
6,18
4,19
4,19
5,21
2,25
8,14
3,3
9,14
4,1
7,22
8,19
3,12
7,6
9,30
4,7
9,25
11,26
11,17
6,18
1,24
8,27
8,20
4,11
8,28
10,21
6,14
7,31
6,22
9,21
8,23
6,6
6,6
2,4
10,16
6,26
12,2
6,4
10,7
7,9
11,17
11,29
10,9
8,12
12,26
6,4
5,20
12,2
9,18
12,7
3,18
2,22
4,18
2,8
10,15
5,14
6,12
12,7
1,31
1,21
4,9
2,28
10,22
10,22
9,19
6,8
7,1
5,11
1,24
6,21
1,18
9,14
6,13
2,6
5,6
9,8
5,8
11,17
8,11
8,13
2,21
12,19
9,14
12,9
5,20
1,3
4,21
10,9
7,10
5,20
6,16
10,16
6,28
4,8
5,20
1,30
5,25
5,11
4,4
6,6
3,11
7,28
11,2
5,6
11,13
7,15
1,8
10,14
6,24
7,21
11,9
6,18
8,27
9,4
3,18
1,3
10,19
1,29
7,30
2,2
12,22
3,23
5,1
4,13
7,30
7,10
8,12
2,8
8,8
4,6
2,9
7,19
6,9
2,26
6,17
3,28
4,29
9,8
7,4
1,23
6,21
1,10
7,6
7,23
6,24
4,14
2,11
3,3
12,25
4,4
9,23
9,17
12,11
10,8
8,31
5,15
9,2
12,14
8,21
5,14
7,22
2,4
8,23
6,29
12,5
5,29
9,7
9,30
12,9
5,19
7,21
3,23
9,5
7,8
2,25
5,17
8,16
3,21
10,18
5,20
5,3
2,19
5,1
8,10
3,9
5,18
3,26
5,25
9,29
6,14
9,20
8,11
1,25
6,4
4,3
3,26
10,17
4,18
2,14
11,2
5,30
10,22
6,25
10,3
2,19
2,25
11,26
4,28
9,28
3,28
3,21
6,9
10,5
1,26
9,13
3,30
2,22
4,16
4,25
10,5
3,24
11,14
4,14
5,23
10,19
3,3
2,12
11,9
5,26
4,1
9,17
9,3
4,16
7,22
5,26
2,15
4,25
7,28
7,27
8,26
4,12
12,15
5,12
3,5
4,1
8,21
1,4
3,24
4,24
4,17
9,12
9,3
4,26
9,7
5,16
6,14
6,17
6,25
10,29
7,2
10,19
12,12
8,17
2,10
12,5
3,23
3,19
8,7
3,10
3,25
10,17
10,5
12,23
3,25
2,16
4,20
8,19
4,13
2,8
10,31
4,1
4,7
8,26
5,31
7,11
11,4
2,2
4,18
3,24
1,26
6,28
2,24
5,8
5,1
7,10
8,25
10,11
12,28
5,30
5,15
11,11
7,3
8,12
3,26
5,19
2,6
3,9
4,12
5,12
6,2
2,1
1,28
11,27
3,5
9,25
6,5
7,13
3,11
5,22
9,17
6,6
6,16
11,12
3,3
10,6
3,19
9,19
1,9
11,30
5,29
1,30
3,18
12,25
11,28
9,11
4,14
3,9
8,6
1,6
10,2
12,20
8,13
8,19
5,24
10,19
3,3
5,3
10,3
7,21
2,27
1,29
5,17
9,20
7,23
12,20
5,31
10,10
1,12
8,5
1,16
7,26
3,7
5,5
11,3
10,2
5,30
9,12
4,30
8,14
12,21
5,11
4,1
8,6
7,13
7,26
1,14
1,14
9,6
12,30
5,18
9,16
1,9
8,18
5,3
12,31
6,18
8,11
4,30
10,4
1,15
7,17
9,3
1,11
8,23
4,20
11,20
8,30
4,25
3,15
12,18
3,27
5,9
4,12
3,12
6,12
6,14
2,11
12,12
9,17
8,5
11,25
7,31
4,9
4,18
10,29
8,27
8,12
7,23
2,18
4,28
4,16
3,13
7,2
1,24
9,16
6,12
7,22
8,6
8,18
1,26
10,2
4,16
3,19
6,4
1,23
2,12
8,13
2,11
9,4
8,30
4,21
1,22
10,20
2,26
6,23
11,19
11,19
2,25
8,29
6,20
7,12
12,3
11,10
4,1
10,19
4,18
9,21
9,1
2,23
10,12
5,3
8,12
9,17
4,12
8,19
8,29
11,28
8,24
9,30
7,9
12,14
1,27
12,6
3,31
10,2
4,4
12,2
12,20
10,18
8,29
7,1
6,22
8,17
11,9
9,3
10,19
1,22
1,20
3,5
11,14
11,5
11,5
11,7
2,16
7,6
3,14
8,3
8,16
9,25
7,29
9,12
10,10
10,28
8,18
10,24
7,25
8,2
2,15
3,12
8,3
5,16
6,1
1,13
10,26
7,2
9,19
4,12
11,23
6,2
5,13
8,10
8,14
1,3
4,3
6,6
1,24
8,4
5,6
4,17
6,8
3,12
2,18
3,13
5,13
7,18
5,10
5,6
5,6
12,11
7,12
3,24
3,15
7,10
2,15
9,12
1,31
4,17
9,3
4,28
5,21
3,19
1,9
11,26
6,23
6,23
5,5
11,4
12,6
11,21
7,12
1,22
6,20
3,29
8,25
10,14
1,21
6,10
5,26
3,18
3,15
11,22
4,6
11,30
3,18
11,12
5,26
2,19
2,5
7,7
7,17
5,26
3,13
12,26
7,15
5,17
6,23
3,25
9,20
4,1
2,19
11,1
6,12
3,7
1,22
7,16
9,29
4,9
8,4
7,15
10,8
6,10
5,29
7,15
6,23
5,1
7,14
10,11
12,8
6,29
6,5
1,24
7,1
5,21
2,26
7,19
6,25
1,8
9,16
1,22
6,3
11,24
1,2
5,13
1,19
12,10
11,24
2,24
10,21
4,15
12,3
1,10
7,20
3,21
1,19
9,11
5,22
11,18
3,10
12,25
9,6
4,3
1,14
8,29
9,7
11,3
8,25
6,5
2,7
5,22
7,30
6,30
2,13
3,2
11,27
2,10
7,27
10,8
6,10
5,26
2,28
2,16
4,13
1,28
2,1
9,29
5,28
12,27
1,17
9,6
6,16
5,4
12,19
1,10
5,26
3,3
4,6
2,8
5,17
5,31
6,21
8,23
6,13
6,26
7,17
8,29
7,4
7,13
6,16
5,16
1,17
2,9
2,5
11,8
2,8
11,28
11,28
12,25
12,27
7,17
3,1
12,14
12,6
10,26
7,29
6,10
9,27
5,30
3,18
7,9
12,23
12,8
1,25
9,20
12,8
5,27
2,2
1,29
7,23
3,31
9,23
4,24
7,7
6,13
7,4
2,11
2,26
2,8
7,14
7,1
1,6
4,6
7,7
3,22
5,13
5,10
